source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,CrowdStrike,CrowdStrike blocks zero-day exploit,"CrowdStrike's Falcon platform identified and blocked a zero-day vulnerability in Windows endpoints, protecting enterprises worldwide.",https://securitynews.ai/crowdstrike/5001,2025-10-14T08:11:43Z,1728996703,142,0.81,positive,112,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-14T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 589, ""shares"": 201, ""comments"": 72}}"
news,Palo Alto Networks,Palo Alto introduces Cortex AI upgrade,"Palo Alto Networks unveiled a Cortex AI module that predicts and neutralizes threats before they impact production systems.",https://securitynews.ai/paloalto/5002,2025-10-14T13:21:32Z,1729015292,128,0.74,positive,97,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-14T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 433, ""shares"": 156, ""comments"": 53}}"
news,Fortinet,Fortinet Security Fabric gains cloud-native boost,"Fortinet's updated Security Fabric offers better integration with AWS and Azure, improving unified threat management.",https://securitynews.ai/fortinet/5003,2025-10-13T09:45:13Z,1728913513,154,0.68,positive,84,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-13T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 384, ""shares"": 149, ""comments"": 38}}"
news,Cloudflare,Cloudflare mitigates record-breaking botnet,"Cloudflare successfully mitigated a record 3.3 Tbps DDoS attack targeting financial institutions, maintaining uptime throughout.",https://securitynews.ai/cloudflare/5004,2025-10-13T07:58:12Z,1728907092,212,0.87,positive,138,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-13T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 743, ""shares"": 269, ""comments"": 88}}"
news,Check Point,Check Point expands threat intelligence coverage,"Check Point's new update provides real-time global intelligence integration, improving visibility across hybrid networks.",https://securitynews.ai/checkpoint/5005,2025-10-12T10:32:00Z,1728822720,119,0.62,positive,79,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-12T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 352, ""shares"": 111, ""comments"": 47}}"
news,CrowdStrike,Analysts praise CrowdStrike's Q3 performance,"Security analysts highlight CrowdStrike's sustained revenue growth driven by its AI-based breach detection capabilities.",https://securitynews.ai/crowdstrike/5006,2025-10-12T16:10:41Z,1728843041,96,0.73,positive,92,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-12T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 411, ""shares"": 142, ""comments"": 41}}"
news,Palo Alto Networks,Palo Alto warns about phishing surge,"Palo Alto Networks reported a 60% increase in phishing campaigns leveraging generative AI in 2025.",https://securitynews.ai/paloalto/5007,2025-10-11T18:24:10Z,1728759850,178,-0.41,negative,66,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-11T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 226, ""shares"": 97, ""comments"": 59}}"
news,Fortinet,Fortinet identifies IoT vulnerabilities,"Fortinet researchers disclosed new vulnerabilities affecting industrial IoT devices in Europe.",https://securitynews.ai/fortinet/5008,2025-10-11T12:53:12Z,1728736392,133,-0.23,neutral,71,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-11T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 275, ""shares"": 113, ""comments"": 50}}"
news,Cloudflare,Cloudflare introduces post-quantum encryption,"Cloudflare rolled out post-quantum encryption across all its edge servers, ensuring long-term data protection.",https://securitynews.ai/cloudflare/5009,2025-10-10T07:44:02Z,1728628242,147,0.84,positive,102,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-10T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 562, ""shares"": 188, ""comments"": 62}}"
news,Check Point,Check Point Quantum firewalls get AI boost,"Check Point enhanced Quantum firewalls with machine learning capabilities for advanced threat detection and response.",https://securitynews.ai/checkpoint/5010,2025-10-10T14:22:35Z,1728652355,134,0.76,positive,89,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-10T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 445, ""shares"": 167, ""comments"": 55}}"
news,CrowdStrike,CrowdStrike expands global threat hunting,"CrowdStrike announced expansion of its OverWatch threat hunting service to cover emerging markets in Asia and Africa.",https://securitynews.ai/crowdstrike/5011,2025-10-09T11:15:28Z,1728555328,167,0.69,positive,95,"{""domain"": ""cybersecurity"", ""processed_at"": ""2025-10-09T11:31:02"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 523, ""shares"": 198, ""comments"": 67}}"
