source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,OpenAI,OpenAI unveils GPT-5 with enhanced reasoning,"OpenAI has officially announced GPT-5, featuring major improvements in logical reasoning and long-context understanding. Analysts believe this will solidify OpenAI's dominance in the LLM sector.",https://example-news.com/ai/openai/101,2025-10-14T10:14:23Z,1729000463,102,0.68,positive,112,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-14T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 812,""shares"": 243,""comments"": 126}}"
news,Anthropic,Anthropic releases new AI safety framework,"Anthropic introduced a new AI safety and governance framework to guide model development. Experts say this strengthens the company's position in responsible AI.",https://example-news.com/ai/anthropic/102,2025-10-14T14:33:18Z,1729016398,94,0.52,positive,89,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-14T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 540,""shares"": 197,""comments"": 94}}"
news,DeepMind,DeepMind advances AGI with new multimodal model,"DeepMind unveiled a new multimodal agent that combines text, vision, and audio reasoning. The breakthrough could mark a step closer to AGI, according to analysts.",https://example-news.com/ai/deepmind/103,2025-10-13T08:26:03Z,1728892563,87,0.74,positive,96,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-13T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 621,""shares"": 301,""comments"": 84}}"
news,Hugging Face,Hugging Face announces open-weight AI benchmark,"Hugging Face introduced an open-weight benchmarking initiative to evaluate transparency in AI models. The open-source community welcomed the move.",https://example-news.com/ai/huggingface/104,2025-10-13T09:12:47Z,1728895967,65,0.46,positive,70,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-13T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 498,""shares"": 181,""comments"": 77}}"
news,Stability AI,Stability AI launches Stable LM 3,"Stability AI has launched Stable LM 3, the next version of its open large language model. The release underscores its commitment to democratizing AI.",https://example-news.com/ai/stabilityai/105,2025-10-13T17:45:00Z,1728927300,121,0.61,positive,83,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-13T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 723,""shares"": 392,""comments"": 102}}"
news,OpenAI,OpenAI forms global AI ethics board,"OpenAI announced the formation of a global ethics board to guide responsible AI practices. Experts say it's a proactive step amid regulatory scrutiny.",https://example-news.com/ai/openai/106,2025-10-12T12:41:12Z,1728827272,98,0.48,positive,59,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-12T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 382,""shares"": 251,""comments"": 113}}"
news,Anthropic,Anthropic partners with universities for AI ethics,"Anthropic has partnered with major universities to study long-term AI alignment. The collaboration aims to bridge the gap between academia and industry.",https://example-news.com/ai/anthropic/107,2025-10-12T11:16:30Z,1728822590,77,0.57,positive,71,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-12T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 654,""shares"": 206,""comments"": 64}}"
news,DeepMind,DeepMind researchers publish AGI safety paper,"DeepMind researchers have released a white paper outlining AGI containment protocols. The research community praised the effort for transparency.",https://example-news.com/ai/deepmind/108,2025-10-12T08:22:44Z,1728812564,108,0.69,positive,75,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-12T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 511,""shares"": 312,""comments"": 145}}"
news,Hugging Face,Hugging Face introduces training cost estimator,"Hugging Face introduced a new tool that estimates training costs for AI models, helping startups better plan compute budgets.",https://example-news.com/ai/huggingface/109,2025-10-11T10:41:59Z,1728733319,92,0.44,positive,68,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-11T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 352,""shares"": 211,""comments"": 88}}"
news,Stability AI,Stability AI expands open-source cloud platform,"Stability AI is scaling its open AI infrastructure to reach new developers worldwide. Industry experts view it as a challenge to closed AI models.",https://example-news.com/ai/stabilityai/110,2025-10-11T14:39:21Z,1728747561,81,0.51,positive,61,"{""domain"": ""ai_ml"",""processed_at"": ""2025-10-11T21:11:03.465097"",""source_type"": ""news"",""engagement_metrics"": {""likes"": 419,""shares"": 285,""comments"": 73}}"
